sezon,takim,elo
2011-2012,Alsancak Yeşilova SK,1254.8509750968435
2011-2012,Baf Ülkü Yurdu,1258.8207479343278
2011-2012,Bellapais Tatlısu HOSK,1258.0083057373658
2011-2012,Binatlı YSK,1404.565640667725
2011-2012,Bostancı Bağcıl SK,1507.0057078783798
2011-2012,Cihangir GSK,1509.765543612562
2011-2012,Doğan Türk Birliği,1433.944131025695
2011-2012,Dumlupınar TSK,1321.5537443291864
2011-2012,Düzkaya KOSK,1365.0244374829074
2011-2012,Esentepe KSKK,1388.6377093470794
2011-2012,Gençlik Gücü TSK,1562.9234104284033
2011-2012,Gönyeli SK,1163.9341797407167
2011-2012,Görneç KSK,1425.5417316269984
2011-2012,Göçmenköy İYSK,1294.138302475018
2011-2012,Hamitköy ŞHSK,1507.9764531539386
2011-2012,Küçük Kaymaklı TSK,1504.8201468382501
2011-2012,Lapta Türk Birliği SK,1410.4204043718896
2011-2012,Lefke TSK,1429.1694818731871
2011-2012,Mağusa Türk Gücü,1577.6275931393677
2011-2012,Mormenekşe GBSK,1427.8939549276045
2011-2012,Ozanköy SK,1370.9340953334838
2011-2012,Serdarlı GB,1599.5327453114483
2011-2012,Türk Ocağı Limasol SK,1299.1510483149764
2011-2012,Türkmenköy ASK,1387.5181560435242
2011-2012,Yeniboğaziçi DSK,1304.1474919381421
2011-2012,Yenicami AK,1482.0876188900654
2011-2012,Çanakkale TSK,1153.7026887732902
2011-2012,Çetinkaya TSK,1677.8719900652904
2012-2013,Bellapais Tatlısu HOSK,1340.1677903107602
2012-2013,Binatlı YSK,1378.935932451558
2012-2013,Bostancı Bağcıl SK,1431.5819113591288
2012-2013,Cihangir GSK,1507.8024473000435
2012-2013,Doğan Türk Birliği,1534.2227854210994
2012-2013,Dumlupınar TSK,1365.9541740046272
2012-2013,Düzkaya KOSK,1392.6331284108214
2012-2013,Esentepe KSKK,1347.6467916890986
2012-2013,Gençlik Gücü TSK,1488.675647813946
2012-2013,Gönyeli SK,1352.5858047144409
2012-2013,Görneç KSK,1362.0135234539925
2012-2013,Göçmenköy İYSK,1196.1918474576237
2012-2013,Hamitköy ŞHSK,1431.48927447276
2012-2013,Küçük Kaymaklı TSK,1544.3777589745118
2012-2013,L. Gençler Birliği SK,1421.2179940863496
2012-2013,Lapta Türk Birliği SK,1365.0171376024841
2012-2013,Lefke TSK,1469.5765441907863
2012-2013,Mağusa Türk Gücü,1506.575138705036
2012-2013,Mormenekşe GBSK,1498.9229324477672
