takim,elo,lig,siralama
Gençlik Gücü TSK,1705.4025738765752,Süper Lig,1
Doğan Türk Birliği,1692.801393309866,Süper Lig,2
Cihangir GSK,1687.1924616688375,Süper Lig,3
Mağusa Türk Gücü,1631.0513537477332,Süper Lig,4
Değirmenlik SK,1612.4206796112771,Süper Lig,5
Aslanköy GSD,1537.8535498631188,Süper Lig,6
Dumlupınar TSK,1512.0838593961955,Süper Lig,7
L. Gençler Birliği SK,1501.0588660569088,1. Lig,8
Karaoğlanoğlu SK,1489.0948378065277,1. Lig,9
Mesarya SK,1482.4750886502657,Süper Lig,10
Lapta Türk Birliği SK,1482.259924661811,1. Lig,11
Karşıyaka SK,1471.875020586218,Süper Lig,12
Göçmenköy İYSK,1471.3769731821076,1. Lig,13
Türk Ocağı Limasol SK,1461.406805167257,1. Lig,14
Dikmen Gücü SK,1448.3184450009908,1. Lig,15
Lefke TSK,1447.49096275863,1. Lig,16
Alsancak Yeşilova SK,1442.1789049901647,Süper Lig,17
Esentepe KSKK,1434.3109790283495,Süper Lig,18
Düzkaya KOSK,1429.0555254304747,1. Lig,19
Küçük Kaymaklı TSK,1425.797535335553,Süper Lig,20
M. Karşıyaka ASK,1425.2949337663235,Aktif değil,21
M. Hacıali Yılmazköy SK,1420.9459402155637,1. Lig,22
Akova Vuda TÇBSK,1419.760445256447,Aktif değil,23
Çetinkaya TSK,1418.9891795975939,Süper Lig,24
Binatlı YSK,1418.8361683226947,Aktif değil,25
Mormenekşe GBSK,1414.3099677590794,1. Lig,26
Serdarlı GB,1411.2404242949983,Aktif değil,27
Baf Ülkü Yurdu,1407.7322940982665,Süper Lig,28
Denizli SK,1406.6841067042837,Aktif değil,29
Bellapais Tatlısu HOSK,1405.2592635559051,Aktif değil,30
Türkmenköy ASK,1400.5483292577965,Aktif değil,31
Akıncılar GSK,1394.0100244887346,Aktif değil,32
Mehmetçik TÇBSK,1393.7458641340675,Aktif değil,33
Yalova SK,1389.738173918981,Aktif değil,34
Yenicami AK,1384.2133667067408,Süper Lig,35
Doğancı SK,1376.9361025827347,Aktif değil,36
Akdoğan SK,1374.9453586348288,1. Lig,37
Kozanköy KSK,1374.610463693401,Aktif değil,38
Dörtyol SK,1366.8608795150967,Aktif değil,39
Ozanköy SK,1352.19053512455,Aktif değil,40
Bostancı Bağcıl SK,1350.6199514758039,Aktif değil,41
Görneç KSK,1331.179362278378,Aktif değil,42
İncirli SK,1323.1284361694006,Aktif değil,43
Geçitkale GSK,1314.864748760947,1. Lig,44
Girne Halk Evi SK,1310.6692473371904,Aktif değil,45
Dipkarpaz SK,1310.4243609755702,Aktif değil,46
Gönyeli SK,1307.123039348982,1. Lig,47
Yenierenköy TSK,1304.1794732066426,Aktif değil,48
Maraş GSK,1298.986219755553,1. Lig,49
Yeniboğaziçi DSK,1281.1210070590616,1. Lig,50
Vadili TÇBSK,1238.943686787506,Aktif değil,51
Kaplıca Karadeniz 61 SK,1195.2206833597959,Aktif değil,52
Hamitköy ŞHSK,1190.6010982303626,Aktif değil,53
Çanakkale TSK,1168.8422834054102,Aktif değil,54
