date,sezon,takim,elo
2011-09-24,2011-2012,Çetinkaya TSK,1494.3974000078847
2011-09-24,2011-2012,Küçük Kaymaklı TSK,1505.6025999921153
2011-09-24,2011-2012,Lapta Türk Birliği SK,1491.6803709521337
2011-09-24,2011-2012,Bellapais Tatlısu HOSK,1414.986295714533
2011-09-24,2011-2012,Bostancı Bağcıl SK,1460.8689162683204
2011-09-24,2011-2012,Doğan Türk Birliği,1404.464417065013
2011-09-24,2011-2012,Düzkaya KOSK,1386.3924818344508
2011-09-24,2011-2012,Mağusa Türk Gücü,1451.8932324512634
2011-09-24,2011-2012,Görneç KSK,1387.6179607923011
2011-09-24,2011-2012,Binatlı YSK,1430.5090233346828
2011-09-24,2011-2012,Ozanköy SK,1437.6428582339174
2011-09-24,2011-2012,Çanakkale TSK,1364.4033178122584
2011-09-24,2011-2012,Gençlik Gücü TSK,1428.6883217873408
2011-09-24,2011-2012,Alsancak Yeşilova SK,1359.9779008788814
2011-09-25,2011-2012,Türk Ocağı Limasol SK,1386.3687408785681
2011-09-25,2011-2012,Lefke TSK,1390.839606329779
2011-09-25,2011-2012,Gönyeli SK,1343.5561024173362
2011-09-25,2011-2012,Yenicami AK,1423.6326369478736
2011-09-25,2011-2012,Göçmenköy İYSK,1396.6582078134466
2011-09-25,2011-2012,Cihangir GSK,1361.6278827729536
2011-09-25,2011-2012,Dumlupınar TSK,1340.800982892892
2011-09-25,2011-2012,Hamitköy ŞHSK,1409.4750826308514
2011-09-25,2011-2012,Türkmenköy ASK,1368.850421669689
2011-09-25,2011-2012,Mormenekşe GBSK,1374.1453878781463
2011-09-25,2011-2012,Yeniboğaziçi DSK,1393.697743208182
2011-09-25,2011-2012,Esentepe KSKK,1342.6256025715377
2011-09-25,2011-2012,Baf Ülkü Yurdu,1382.320537718362
2011-09-25,2011-2012,Serdarlı GB,1347.8444035029531
2011-10-01,2011-2012,Mağusa Türk Gücü,1475.6924170966852
2011-10-01,2011-2012,Göçmenköy İYSK,1372.8590231680248
2011-10-01,2011-2012,Yenicami AK,1449.0848573197593
2011-10-01,2011-2012,Düzkaya KOSK,1360.940261462565
2011-10-01,2011-2012,Doğan Türk Birliği,1424.4263415312894
2011-10-01,2011-2012,Gönyeli SK,1323.59417795106
2011-10-01,2011-2012,Cihangir GSK,1365.7566350215195
2011-10-01,2011-2012,Çetinkaya TSK,1490.2686477593188
2011-10-01,2011-2012,Lefke TSK,1426.8496593970162
2011-10-01,2011-2012,Bostancı Bağcıl SK,1424.858863201083
2011-10-01,2011-2012,Esentepe KSKK,1361.4580780225654
2011-10-01,2011-2012,Baf Ülkü Yurdu,1363.4880622673343
2011-10-01,2011-2012,Hamitköy ŞHSK,1405.1808648643937
2011-10-01,2011-2012,Yeniboğaziçi DSK,1397.9919609746396
2011-10-02,2011-2012,Küçük Kaymaklı TSK,1515.5210063641982
2011-10-02,2011-2012,Göçmenköy İYSK,1362.9406167959419
2011-10-02,2011-2012,Bellapais Tatlısu HOSK,1437.496168060359
2011-10-02,2011-2012,Türk Ocağı Limasol SK,1363.8588685327422
2011-10-02,2011-2012,Küçük Kaymaklı TSK,1547.9597557060806
2011-10-02,2011-2012,Lapta Türk Birliği SK,1459.2416216102513
2011-10-02,2011-2012,Binatlı YSK,1377.5854266265148
2011-10-02,2011-2012,Gençlik Gücü TSK,1481.6119184955087
2011-10-02,2011-2012,Mormenekşe GBSK,1371.4829506494718
2011-10-02,2011-2012,Görneç KSK,1390.2803980209756
2011-10-02,2011-2012,Alsancak Yeşilova SK,1340.9939022297406
2011-10-02,2011-2012,Ozanköy SK,1456.6268568830583
2011-10-02,2011-2012,Serdarlı GB,1345.609107163711
2011-10-02,2011-2012,Türkmenköy ASK,1371.085718008931
2011-10-02,2011-2012,Çanakkale TSK,1359.681562611905
2011-10-02,2011-2012,Dumlupınar TSK,1345.5227380932454
2011-10-08,2011-2012,Lapta Türk Birliği SK,1426.7456769044627
2011-10-08,2011-2012,Çetinkaya TSK,1522.7645924651074
2011-10-08,2011-2012,Düzkaya KOSK,1321.3415977942996
2011-10-08,2011-2012,Doğan Türk Birliği,1464.025005199555
2011-10-08,2011-2012,Bostancı Bağcıl SK,1422.1492113594481
2011-10-08,2011-2012,Bellapais Tatlısu HOSK,1440.205819901994
2011-10-08,2011-2012,Gençlik Gücü TSK,1506.6884775109252
2011-10-08,2011-2012,Görneç KSK,1365.203839005559
2011-10-08,2011-2012,Dumlupınar TSK,1310.01406629344
2011-10-08,2011-2012,Alsancak Yeşilova SK,1376.502574029546
2011-10-08,2011-2012,Türkmenköy ASK,1387.1304382071323
2011-10-08,2011-2012,Esentepe KSKK,1345.413357824364
2011-10-08,2011-2012,Serdarlı GB,1363.6509409364658
2011-10-08,2011-2012,Mormenekşe GBSK,1353.4411168767172
2011-10-09,2011-2012,Türk Ocağı Limasol SK,1370.713617603086
2011-10-09,2011-2012,Küçük Kaymaklı TSK,1541.1050066357368
2011-10-09,2011-2012,Gönyeli SK,1306.0713779008624
