takim,elo,date,sezon
Mağusa Türk Gücü,1895.8620026731426,2024-04-13,2023-2024
Cihangir GSK,1837.580065773413,2024-03-30,2023-2024
Çetinkaya TSK,1823.7371376495091,2013-04-26,2012-2013
Yenicami AK,1812.6919555079792,2015-02-08,2014-2015
Doğan Türk Birliği,1794.3043174576524,2025-04-26,2024-2025
Gençlik Gücü TSK,1790.665795386138,2026-05-09,2025-2026
Değirmenlik SK,1751.4145033383074,2024-12-29,2024-2025
Küçük Kaymaklı TSK,1743.4003462735652,2014-04-19,2013-2014
Alsancak Yeşilova SK,1707.559386802138,2020-07-22,2019-2020
Mesarya SK,1705.2625771722733,2023-05-07,2022-2023
Dumlupınar TSK,1695.8472271580022,2023-12-03,2023-2024
Türk Ocağı Limasol SK,1673.4211573559191,2015-04-05,2014-2015
Lefke TSK,1672.7997181212327,2014-03-08,2013-2014
Binatlı YSK,1671.7650883604283,2016-02-07,2015-2016
L. Gençler Birliği SK,1640.260403810219,2017-12-16,2017-2018
Karşıyaka SK,1628.5175131676933,2024-04-27,2023-2024
Mormenekşe GBSK,1627.035449005857,2015-04-11,2014-2015
Baf Ülkü Yurdu,1616.632501141975,2018-11-17,2018-2019
Gönyeli SK,1615.4040695477163,2022-02-06,2021-2022
Serdarlı GB,1612.2436312891355,2012-04-15,2011-2012
Göçmenköy İYSK,1610.9945245431954,2024-05-04,2023-2024
Yalova SK,1595.8829905091163,2017-04-07,2016-2017
Aslanköy GSD,1595.5721785977912,2026-02-01,2025-2026
Esentepe KSKK,1588.5951110902824,2023-11-18,2023-2024
Bostancı Bağcıl SK,1577.3342763055894,2015-02-14,2014-2015
Kozanköy KSK,1562.2082624126656,2025-11-22,2025-2026
Düzkaya KOSK,1561.5638088953333,2019-04-27,2018-2019
Hamitköy ŞHSK,1561.0281338158195,2014-02-09,2013-2014
Yeniboğaziçi DSK,1559.1715419766992,2023-04-12,2022-2023
Ozanköy SK,1544.2257370194684,2019-05-12,2018-2019
Girne Halk Evi SK,1543.667315893972,2020-07-19,2019-2020
Akova Vuda TÇBSK,1521.6467684448385,2018-12-22,2018-2019
Görneç KSK,1510.811332243457,2012-02-18,2011-2012
Lapta Türk Birliği SK,1504.8307108319261,2026-05-10,2025-2026
İncirli SK,1503.308136461746,2021-10-02,2021-2022
Maraş GSK,1501.216853005608,2017-01-29,2016-2017
Dörtyol SK,1500.0273854085522,2021-12-26,2021-2022
M. Hacıali Yılmazköy SK,1491.582028166344,2024-10-20,2024-2025
Karaoğlanoğlu SK,1489.0948378065277,2026-09-19,2026-2027
M. Karşıyaka ASK,1481.9689791242122,2022-05-07,2021-2022
Kaplıca Karadeniz 61 SK,1470.0797104551386,2025-09-27,2025-2026
Mehmetçik TÇBSK,1469.529461644142,2017-02-26,2016-2017
Bellapais Tatlısu HOSK,1462.4957389156086,2011-11-05,2011-2012
Türkmenköy ASK,1456.0839724969624,2012-02-11,2011-2012
Çanakkale TSK,1455.9452792840975,2024-02-11,2023-2024
Dikmen Gücü SK,1448.3184450009908,2026-09-20,2026-2027
Denizli SK,1448.1907225091454,2016-04-09,2015-2016
Geçitkale GSK,1425.5076343394458,2025-04-27,2024-2025
Dipkarpaz SK,1416.737728219769,2024-09-29,2024-2025
Doğancı SK,1415.8134153369126,2018-11-24,2018-2019
Akıncılar GSK,1407.6965322397677,2013-12-07,2013-2014
Akdoğan SK,1407.398583204524,2026-09-13,2026-2027
Vadili TÇBSK,1384.9598699084888,2012-09-30,2012-2013
Yenierenköy TSK,1364.2600961613566,2022-09-25,2022-2023
