date,sezon,lig,home,away,hg,ag,sonuc,hukmen,supheli_tekrar,match_id,url
2011-09-24,2011-2012,Süper Lig,Çetinkaya TSK,Küçük Kaymaklı TSK,2,3,A,0,0,1002,https://ktff.org/maclar/1002
2011-09-24,2011-2012,Süper Lig,Lapta Türk Birliği SK,Bellapais Tatlısu HOSK,6,1,H,0,0,1003,https://ktff.org/maclar/1003
2011-09-24,2011-2012,Süper Lig,Bostancı Bağcıl SK,Doğan Türk Birliği,2,0,H,0,0,1004,https://ktff.org/maclar/1004
2011-09-24,2011-2012,Süper Lig,Düzkaya KOSK,Mağusa Türk Gücü,0,2,A,0,0,1005,https://ktff.org/maclar/1005
2011-09-24,2011-2012,1. Lig,Görneç KSK,Binatlı YSK,1,2,A,0,0,1059,https://ktff.org/maclar/1059
2011-09-24,2011-2012,1. Lig,Ozanköy SK,Çanakkale TSK,6,0,H,0,0,1060,https://ktff.org/maclar/1060
2011-09-24,2011-2012,1. Lig,Gençlik Gücü TSK,Alsancak Yeşilova SK,5,0,H,0,0,1061,https://ktff.org/maclar/1061
2011-09-25,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Lefke TSK,3,3,D,0,0,1006,https://ktff.org/maclar/1006
2011-09-25,2011-2012,Süper Lig,Gönyeli SK,Yenicami AK,1,4,A,0,0,1007,https://ktff.org/maclar/1007
2011-09-25,2011-2012,Süper Lig,Göçmenköy İYSK,Cihangir GSK,2,1,H,0,0,1008,https://ktff.org/maclar/1008
2011-09-25,2011-2012,1. Lig,Dumlupınar TSK,Hamitköy ŞHSK,0,2,A,0,0,1062,https://ktff.org/maclar/1062
2011-09-25,2011-2012,1. Lig,Türkmenköy ASK,Mormenekşe GBSK,0,0,D,0,0,1063,https://ktff.org/maclar/1063
2011-09-25,2011-2012,1. Lig,Yeniboğaziçi DSK,Esentepe KSKK,3,1,H,0,0,1064,https://ktff.org/maclar/1064
2011-09-25,2011-2012,1. Lig,Baf Ülkü Yurdu,Serdarlı GB,1,0,H,0,0,1065,https://ktff.org/maclar/1065
2011-10-01,2011-2012,Süper Lig,Mağusa Türk Gücü,Göçmenköy İYSK,3,0,H,0,0,1009,https://ktff.org/maclar/1009
2011-10-01,2011-2012,Süper Lig,Yenicami AK,Düzkaya KOSK,3,0,H,0,0,1010,https://ktff.org/maclar/1010
2011-10-01,2011-2012,Süper Lig,Doğan Türk Birliği,Gönyeli SK,3,1,H,0,0,1011,https://ktff.org/maclar/1011
2011-10-01,2011-2012,Süper Lig,Cihangir GSK,Çetinkaya TSK,0,0,D,0,0,1012,https://ktff.org/maclar/1012
2011-10-01,2011-2012,Süper Lig,Lefke TSK,Bostancı Bağcıl SK,3,0,H,0,0,1014,https://ktff.org/maclar/1014
2011-10-01,2011-2012,1. Lig,Esentepe KSKK,Baf Ülkü Yurdu,4,3,H,0,0,1067,https://ktff.org/maclar/1067
2011-10-01,2011-2012,1. Lig,Hamitköy ŞHSK,Yeniboğaziçi DSK,1,1,D,0,0,1068,https://ktff.org/maclar/1068
2011-10-02,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Göçmenköy İYSK,2,1,H,0,0,1013,https://ktff.org/maclar/1013
2011-10-02,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Türk Ocağı Limasol SK,2,0,H,0,0,1015,https://ktff.org/maclar/1015
2011-10-02,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Lapta Türk Birliği SK,7,1,H,0,0,1041,https://ktff.org/maclar/1041
2011-10-02,2011-2012,1. Lig,Binatlı YSK,Gençlik Gücü TSK,0,7,A,0,0,1066,https://ktff.org/maclar/1066
2011-10-02,2011-2012,1. Lig,Mormenekşe GBSK,Görneç KSK,0,0,D,0,0,1069,https://ktff.org/maclar/1069
2011-10-02,2011-2012,1. Lig,Alsancak Yeşilova SK,Ozanköy SK,0,1,A,0,0,1070,https://ktff.org/maclar/1070
2011-10-02,2011-2012,1. Lig,Serdarlı GB,Türkmenköy ASK,0,0,D,0,0,1071,https://ktff.org/maclar/1071
2011-10-02,2011-2012,1. Lig,Çanakkale TSK,Dumlupınar TSK,2,2,D,0,0,1072,https://ktff.org/maclar/1072
2011-10-08,2011-2012,Süper Lig,Lapta Türk Birliği SK,Çetinkaya TSK,0,2,A,0,0,1018,https://ktff.org/maclar/1018
2011-10-08,2011-2012,Süper Lig,Düzkaya KOSK,Doğan Türk Birliği,0,5,A,0,0,1020,https://ktff.org/maclar/1020
2011-10-08,2011-2012,Süper Lig,Bostancı Bağcıl SK,Bellapais Tatlısu HOSK,1,1,D,0,0,1021,https://ktff.org/maclar/1021
2011-10-08,2011-2012,1. Lig,Gençlik Gücü TSK,Görneç KSK,6,0,H,0,0,1073,https://ktff.org/maclar/1073
2011-10-08,2011-2012,1. Lig,Dumlupınar TSK,Alsancak Yeşilova SK,1,3,A,0,0,1074,https://ktff.org/maclar/1074
2011-10-08,2011-2012,1. Lig,Türkmenköy ASK,Esentepe KSKK,2,1,H,0,0,1075,https://ktff.org/maclar/1075
2011-10-08,2011-2012,1. Lig,Serdarlı GB,Mormenekşe GBSK,2,1,H,0,0,1077,https://ktff.org/maclar/1077
2011-10-09,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Küçük Kaymaklı TSK,2,2,D,0,0,1016,https://ktff.org/maclar/1016
2011-10-09,2011-2012,Süper Lig,Gönyeli SK,Lefke TSK,0,1,A,0,0,1017,https://ktff.org/maclar/1017
2011-10-09,2011-2012,Süper Lig,Göçmenköy İYSK,Yenicami AK,1,3,A,0,0,1019,https://ktff.org/maclar/1019
2011-10-09,2011-2012,Süper Lig,Mağusa Türk Gücü,Cihangir GSK,6,1,H,0,0,1022,https://ktff.org/maclar/1022
2011-10-09,2011-2012,1. Lig,Baf Ülkü Yurdu,Hamitköy ŞHSK,1,1,D,0,0,1076,https://ktff.org/maclar/1076
2011-10-09,2011-2012,1. Lig,Ozanköy SK,Binatlı YSK,4,4,D,0,0,1078,https://ktff.org/maclar/1078
2011-10-09,2011-2012,1. Lig,Yeniboğaziçi DSK,Çanakkale TSK,5,1,H,0,0,1079,https://ktff.org/maclar/1079
2011-10-15,2011-2012,Süper Lig,Çetinkaya TSK,Türk Ocağı Limasol SK,4,4,D,0,0,1023,https://ktff.org/maclar/1023
2011-10-15,2011-2012,Süper Lig,Lefke TSK,Düzkaya KOSK,3,1,H,0,0,1025,https://ktff.org/maclar/1025
2011-10-15,2011-2012,Süper Lig,Yenicami AK,Mağusa Türk Gücü,3,1,H,0,0,1028,https://ktff.org/maclar/1028
2011-10-15,2011-2012,1. Lig,Görneç KSK,Ozanköy SK,6,1,H,0,0,1080,https://ktff.org/maclar/1080
2011-10-15,2011-2012,1. Lig,Çanakkale TSK,Baf Ülkü Yurdu,0,4,A,0,0,1081,https://ktff.org/maclar/1081
2011-10-15,2011-2012,1. Lig,Alsancak Yeşilova SK,Yeniboğaziçi DSK,4,1,H,0,0,1082,https://ktff.org/maclar/1082
2011-10-16,2011-2012,Süper Lig,Doğan Türk Birliği,Göçmenköy İYSK,6,1,H,0,0,1024,https://ktff.org/maclar/1024
2011-10-16,2011-2012,Süper Lig,Cihangir GSK,Lapta Türk Birliği SK,0,1,A,0,0,1026,https://ktff.org/maclar/1026
2011-10-16,2011-2012,Süper Lig,Küçük Kaymaklı TSK,Bostancı Bağcıl SK,3,0,H,0,0,1027,https://ktff.org/maclar/1027
2011-10-16,2011-2012,Süper Lig,Bellapais Tatlısu HOSK,Gönyeli SK,0,0,D,0,0,1029,https://ktff.org/maclar/1029
2011-10-16,2011-2012,1. Lig,Binatlı YSK,Dumlupınar TSK,0,0,D,0,0,1083,https://ktff.org/maclar/1083
2011-10-16,2011-2012,1. Lig,Esentepe KSKK,Serdarlı GB,2,0,H,0,0,1084,https://ktff.org/maclar/1084
2011-10-16,2011-2012,1. Lig,Hamitköy ŞHSK,Türkmenköy ASK,1,2,A,0,0,1085,https://ktff.org/maclar/1085
2011-10-16,2011-2012,1. Lig,Mormenekşe GBSK,Gençlik Gücü TSK,3,1,H,0,0,1086,https://ktff.org/maclar/1086
2011-10-22,2011-2012,Süper Lig,Türk Ocağı Limasol SK,Lapta Türk Birliği SK,1,1,D,0,0,1195,https://ktff.org/maclar/1195
2011-10-22,2011-2012,Süper Lig,Göçmenköy İYSK,Lefke TSK,1,1,D,0,0,1196,https://ktff.org/maclar/1196
2011-10-22,2011-2012,Süper Lig,Yenicami AK,Cihangir GSK,4,0,H,0,0,1197,https://ktff.org/maclar/1197
2011-10-22,2011-2012,1. Lig,Ozanköy SK,Gençlik Gücü TSK,1,5,A,0,0,1252,https://ktff.org/maclar/1252
2011-10-22,2011-2012,1. Lig,Dumlupınar TSK,Görneç KSK,1,1,D,0,0,1254,https://ktff.org/maclar/1254
2011-10-22,2011-2012,1. Lig,Baf Ülkü Yurdu,Alsancak Yeşilova SK,0,1,A,0,0,1255,https://ktff.org/maclar/1255
2011-10-22,2011-2012,1. Lig,Serdarlı GB,Hamitköy ŞHSK,2,2,D,0,0,1256,https://ktff.org/maclar/1256
2011-10-23,2011-2012,Süper Lig,Bostancı Bağcıl SK,Çetinkaya TSK,0,1,A,0,0,1198,https://ktff.org/maclar/1198
2011-10-23,2011-2012,Süper Lig,Gönyeli SK,Küçük Kaymaklı TSK,1,3,A,0,0,1199,https://ktff.org/maclar/1199
2011-10-23,2011-2012,Süper Lig,Düzkaya KOSK,Bellapais Tatlısu HOSK,1,2,A,0,0,1200,https://ktff.org/maclar/1200
2011-10-23,2011-2012,Süper Lig,Mağusa Türk Gücü,Doğan Türk Birliği,1,1,D,0,0,1201,https://ktff.org/maclar/1201
2011-10-23,2011-2012,1. Lig,Yeniboğaziçi DSK,Binatlı YSK,1,1,D,0,0,1257,https://ktff.org/maclar/1257
2011-10-23,2011-2012,1. Lig,Türkmenköy ASK,Çanakkale TSK,5,0,H,0,0,1258,https://ktff.org/maclar/1258
