k,hfa,regress,gd_mode,logloss,brier,acc
40,0,0.2,wfe,0.9585402816504329,0.5679022619380244,0.5489379425239483
40,20,0.2,wfe,0.9585622035320568,0.5679183357422724,0.5489379425239483
40,40,0.2,wfe,0.9586379901772658,0.5679719041086569,0.5497709287796751
40,0,0.3,wfe,0.9587136053190188,0.56803481223162,0.5522698875468555
40,20,0.3,wfe,0.958719786793912,0.5680389400145989,0.5522698875468555
32,0,0.2,wfe,0.958753149910712,0.5680701518228916,0.5472719700124948
40,60,0.2,wfe,0.9587681311673233,0.5680634879188418,0.5489379425239483
40,40,0.3,wfe,0.9587772161220165,0.5680785655775135,0.5497709287796751
32,0,0.3,wfe,0.9587929878093536,0.5681037786223323,0.5522698875468555
32,20,0.2,wfe,0.9587948788347955,0.5681000408392979,0.5485214493960849
32,20,0.3,wfe,0.9588196680728531,0.5681220224289835,0.5510204081632653
48,0,0.2,wfe,0.9588268640743582,0.5681008273563147,0.5539358600583091
48,20,0.2,wfe,0.9588289892967405,0.5681034044802798,0.5547688463140358
48,40,0.2,wfe,0.9588748014092191,0.5681359276417484,0.5543523531861724
40,60,0.3,wfe,0.9588864407365787,0.568154262833795,0.5489379425239483
32,40,0.2,wfe,0.9589015834270803,0.5681758532292716,0.5489379425239483
32,40,0.3,wfe,0.9589072615089994,0.5681832100874191,0.5518533944189921
40,20,0.4,wfe,0.9589513700772516,0.5681938532131721,0.5531028738025823
40,80,0.2,wfe,0.9589522230821397,0.5681930267231625,0.5476884631403582
40,0,0.1,wfe,0.9589571664058159,0.5681292486911363,0.5476884631403582
32,0,0.4,wfe,0.9589601838211407,0.5682050918866685,0.5489379425239483
40,0,0.4,wfe,0.9589633314709577,0.5682035653063872,0.5522698875468555
48,60,0.2,wfe,0.9589654994456583,0.5681994068216359,0.5518533944189921
32,20,0.4,wfe,0.958968871478892,0.5682094753110948,0.5497709287796751
40,20,0.1,wfe,0.9589866015107447,0.568150928308514,0.5489379425239483
40,40,0.4,wfe,0.9589885132676363,0.5682179026223481,0.5510204081632653
32,40,0.4,wfe,0.9590349620864058,0.5682540667904235,0.5481049562682215
40,80,0.3,wfe,0.9590470222185107,0.5682659718962871,0.5497709287796751
48,20,0.3,wfe,0.9590514264793966,0.5682738238219649,0.5514369012911287
32,60,0.3,wfe,0.9590557574497967,0.5682875329811055,0.5510204081632653
48,0,0.3,wfe,0.9590654632971054,0.5682833623965711,0.5539358600583091
48,0,0.1,wfe,0.9590705260569663,0.5682070550856925,0.550603915035402
