sezon,lig,sampiyon,puan,elo_bir,ayni
2011-2012,1. Lig,Gençlik Gücü TSK,57,Serdarlı GB,False
2011-2012,Süper Lig,Çetinkaya TSK,61,Çetinkaya TSK,True
2012-2013,1. Lig,Yeniboğaziçi DSK,45,Mormenekşe GBSK,False
2012-2013,Süper Lig,Çetinkaya TSK,67,Çetinkaya TSK,True
2013-2014,1. Lig,Gönyeli SK,55,Gönyeli SK,True
2013-2014,Süper Lig,Yenicami AK,63,Yenicami AK,True
2014-2015,1. Lig,Türk Ocağı Limasol SK,64,Türk Ocağı Limasol SK,True
2014-2015,Süper Lig,Yenicami AK,68,Yenicami AK,True
2015-2016,1. Lig,Dumlupınar TSK,60,Dumlupınar TSK,True
2015-2016,Süper Lig,Mağusa Türk Gücü,50,Çetinkaya TSK,False
2016-2017,1. Lig,Alsancak Yeşilova SK,40,Alsancak Yeşilova SK,True
2016-2017,Süper Lig,Yenicami AK,72,Yenicami AK,True
2017-2018,1. Lig,Gönyeli SK,62,Gönyeli SK,True
2017-2018,Süper Lig,Yenicami AK,61,Yenicami AK,True
2018-2019,1. Lig,Düzkaya KOSK,62,Ozanköy SK,False
2018-2019,Süper Lig,Mağusa Türk Gücü,75,Yenicami AK,False
2019-2020,1. Lig,Mesarya SK,67,Mesarya SK,True
2019-2020,Süper Lig,Mağusa Türk Gücü,76,Mağusa Türk Gücü,True
2021-2022,1. Lig,Çetinkaya TSK,68,Çetinkaya TSK,True
2021-2022,Süper Lig,Mağusa Türk Gücü,69,Mağusa Türk Gücü,True
2022-2023,1. Lig,Karşıyaka SK,63,Esentepe KSKK,False
2022-2023,Süper Lig,Mağusa Türk Gücü,80,Mağusa Türk Gücü,True
2023-2024,1. Lig,Değirmenlik SK,79,Değirmenlik SK,True
2023-2024,Süper Lig,Mağusa Türk Gücü,80,Mağusa Türk Gücü,True
2024-2025,1. Lig,Mormenekşe GBSK,64,Küçük Kaymaklı TSK,False
2024-2025,Süper Lig,Doğan Türk Birliği,70,Mağusa Türk Gücü,False
2025-2026,1. Lig,Baf Ülkü Yurdu,59,Değirmenlik SK,False
2025-2026,Süper Lig,Cihangir GSK,73,Gençlik Gücü TSK,False
