TEAMS
Çetinkaya TSK
Küçük Kaymaklı TSK
Lapta Türk Birliği SK
Bellapais Tatlısu HOSK
Bostancı Bağcıl SK
Doğan Türk Birliği
Düzkaya KOSK
Mağusa Türk Gücü
Görneç KSK
Binatlı YSK
Ozanköy SK
Çanakkale TSK
Gençlik Gücü TSK
Alsancak Yeşilova SK
Türk Ocağı Limasol SK
Lefke TSK
Gönyeli SK
Yenicami AK
Göçmenköy İYSK
Cihangir GSK
Yonpaş Dumlupınar TSK
Hamitköy ŞHSK
Yeni Mesarya Türkmenköy ASK
Mormenekşe GBSK
Yeniboğaziçi DSK
Esentepe KSKK
Baf Ülkü Yurdu
Serdarlı GB
Yalova SK
Vadili TÇBSK
DND L. Gençler Birliği SK
Değirmenlik Spor Kulübü
Akıncılar GSK
Geçitkale GSK
Denizli SK
GAÜ Çetinkaya TSK
M. Karşıyaka ASK
Girne Halk Evi SK
Mehmetçik TÇBSK
German Gold Akova Vuda TÇBSK
Mesarya SK
Dipkarpaz SK
Maraş GSK
Doğancı SK
Dumlupınar TSK
Dörtyol SK
İncirli SK
China Bazaar Gençlik Gücü TSK
Değirmenlik SK
M. Hacıali Yılmazköy SK
Pera L. Gençler Birliği SK
Karşıyaka SK
Yenierenköy TSK
Kozanköy KSK
Aslanköy GSD
Kaplıca Karadeniz 61 SK
Çello Dikmen Gücü SK
Karaoğlanoğlu SK
Akdoğan SK
MATCHES
lg,date,time,mid,h,a,hg,ag,forfeit
1,20110924,1500,1002,0,1,2,3,0
1,20110924,1500,1003,2,3,6,1,0
1,20110924,1500,1004,4,5,2,0,0
1,20110924,1500,1005,6,7,0,2,0
2,20110924,1600,1059,8,9,1,2,0
2,20110924,1600,1060,10,11,6,0,0
2,20110924,1600,1061,12,13,5,0,0
1,20110925,1600,1006,14,15,3,3,0
1,20110925,1600,1007,16,17,1,4,0
1,20110925,1600,1008,18,19,2,1,0
2,20110925,1600,1062,20,21,0,2,0
2,20110925,1600,1063,22,23,0,0,0
2,20110925,1600,1064,24,25,3,1,0
2,20110925,1600,1065,26,27,1,0,0
1,20111001,1600,1009,7,18,3,0,0
1,20111001,1600,1010,17,6,3,0,0
1,20111001,1600,1011,5,16,3,1,0
1,20111001,1600,1012,19,0,0,0,0
1,20111001,1600,1014,15,4,3,0,0
2,20111001,1600,1067,25,26,4,3,0
2,20111001,1600,1068,21,24,1,1,0
1,20111002,1600,1013,1,18,2,1,0
1,20111002,1600,1015,3,14,2,0,0
1,20111002,1345,1041,1,2,7,1,0
2,20111002,1600,1066,9,12,0,7,0
2,20111002,1600,1069,23,8,0,0,0
2,20111002,1600,1070,13,10,0,1,0
2,20111002,1600,1071,27,22,0,0,0
2,20111002,1600,1072,11,20,2,2,0
1,20111008,1600,1018,2,0,0,2,0
1,20111008,1600,1020,6,5,0,5,0
1,20111008,1600,1021,4,3,1,1,0
2,20111008,1600,1073,12,8,6,0,0
2,20111008,1600,1074,20,13,1,3,0
2,20111008,1600,1075,22,25,2,1,0
2,20111008,1600,1077,27,23,2,1,0
1,20111009,1600,1016,14,1,2,2,0
1,20111009,1600,1017,16,15,0,1,0
1,20111009,1600,1019,18,17,1,3,0
1,20111009,1600,1022,7,19,6,1,0
2,20111009,1600,1076,26,21,1,1,0
2,20111009,1600,1078,10,9,4,4,0
2,20111009,1600,1079,24,11,5,1,0
1,20111015,1500,1023,0,14,4,4,0
1,20111015,1500,1025,15,6,3,1,0
1,20111015,1500,1028,17,7,3,1,0
2,20111015,1500,1080,8,10,6,1,0
2,20111015,1500,1081,11,26,0,4,0
2,20111015,1500,1082,13,24,4,1,0
1,20111016,1500,1024,5,18,6,1,0
1,20111016,1500,1026,19,2,0,1,0
1,20111016,1500,1027,1,4,3,0,0
1,20111016,1500,1029,3,16,0,0,0
2,20111016,1500,1083,9,20,0,0,0
2,20111016,1500,1084,25,27,2,0,0
2,20111016,1500,1085,21,22,1,2,0
2,20111016,1500,1086,23,12,3,1,0
1,20111022,1500,1195,14,2,1,1,0
1,20111022,1500,1196,18,15,1,1,0
1,20111022,1500,1197,17,19,4,0,0
2,20111022,1500,1252,10,12,1,5,0
2,20111022,1500,1254,20,8,1,1,0
2,20111022,1500,1255,26,13,0,1,0
2,20111022,1500,1256,27,21,2,2,0
1,20111023,1500,1198,4,0,0,1,0
1,20111023,1500,1199,16,1,1,3,0
1,20111023,1500,1200,6,3,1,2,0
1,20111023,1500,1201,7,5,1,1,0
2,20111023,1500,1257,24,9,1,1,0
2,20111023,1500,1258,22,11,5,0,0
2,20111023,1500,1259,25,23,2,3,0
1,20111029,1500,1209,1,6,1,1,0
1,20111029,1500,1210,5,17,4,5,0
1,20111029,1500,1211,3,18,1,0,0
1,20111029,1500,1212,19,14,2,0,0
2,20111029,1500,1267,21,25,1,2,0
